Statistic,Fold-1,Fold-2,Fold-3,Fold-4,Fold-5,Mean
OOB error,0.237216608854148,0.214695338389339,0.237044563527252,0.201967868449702,0.220764799567071,0.222337835757502
Kappa (training),0.780487804878049,0.797546012269939,0.790419161676647,0.806666666666667,0.791666666666667,0.793357262431593
Test error,0.205230769230769,0.249975,0.221888888888889,0.264301886792453,0.200085714285714,0.228296451839565
Kappa (testing),0.794871794871795,0.75,0.777777777777778,0.735849056603774,0.8,0.771699725850669
