,sample,latitude,longitude,date,time_botto,site,location,visibility,image,fov_Limite,fov_Open,mean_relie,sd_relief,broad_Cons,broad_Macr,broad_Seag,broad_Spon,broad_Ston,broad_Unco,broad_Unkn,Total_Sum,Total_adj,Class,geometry,kndavi,Cluster
229,C1040,-30.22125667,114.9683717,16/04/2021,09:37:41,Jurien,,Moderate,Top,0.0,100.0,3.0,0.0,0.0,88.0,12.0,0.0,0.0,0.0,2.0,66.0,65.0,SAV,POINT (114.9683717 -30.22125667),0.06333099034253707,0
230,C1056,-30.22514167,114.98005,16/04/2021,09:47:36,Jurien,,Moderate,Top,0.0,100.0,2.42307692307692,0.723449087498292,0.0,60.0,0.0,0.0,0.0,40.0,3.0,77.0,75.0,Sand,POINT (114.98005 -30.22514167),0.291060669661165,1
231,C1009,-30.22985667,114.9836183,16/04/2021,09:55:35,Jurien,,Moderate,Top,0.0,100.0,2.12698412698413,0.888856886264663,0.0,100.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,SAV,POINT (114.9836183 -30.22985667),0.11689327461588579,0
232,C1011,-30.23408333,114.9955517,16/04/2021,10:25:15,Jurien,,Good,Top,0.0,100.0,2.86567164179104,0.814555509726655,0.0,73.0,27.0,0.0,0.0,0.0,13.0,79.0,70.0,SAV,POINT (114.9955517 -30.23408333),0.15475099300478617,0
233,C1022,-30.23380167,115.0016133,16/04/2021,10:34:59,Jurien,,Moderate,Top,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,69.0,69.0,Sand,POINT (115.0016133 -30.23380167),0.6871574137153934,1
234,C1015,-30.25186167,115.0007817,16/04/2021,11:03:27,Jurien,,Moderate,Top,0.0,100.0,0.172413793103448,0.381038794105574,0.0,0.0,0.0,0.0,0.0,100.0,0.0,78.0,78.0,Sand,POINT (115.0007817 -30.25186167),0.1857714072740242,1
235,C1039,-30.25838167,115.0365917,16/04/2021,12:24:20,Jurien,,Good,Top,0.0,100.0,2.96923076923077,0.248069469178417,0.0,1.0,97.0,0.0,0.0,1.0,0.0,79.0,79.0,SAV,POINT (115.0365917 -30.25838167),0.0492559815078986,0
236,C1055,-30.268645,115.0356367,16/04/2021,12:34:52,Jurien,,Moderate,Top,0.0,100.0,1.94,0.239897937482095,21.0,64.0,0.0,3.0,0.0,12.0,7.0,77.0,72.0,Sand,POINT (115.0356367 -30.268645),0.12208157549378784,0
237,C1060,-30.276985,115.0362533,16/04/2021,12:51:45,Jurien,,Moderate,Top,0.0,100.0,0.8,0.405095746833467,0.0,4.0,0.0,0.0,0.0,96.0,0.0,76.0,76.0,Sand,POINT (115.0362533 -30.276985),0.6056403954770515,1
238,C1002,-30.28036667,115.0412667,16/04/2021,13:00:31,Jurien,,Moderate,Top,0.0,100.0,0.516129032258065,0.625617974056345,0.0,4.0,0.0,0.0,0.0,96.0,0.0,75.0,75.0,Sand,POINT (115.0412667 -30.28036667),0.751408166232347,1
239,C1017,-30.29496,115.0390583,16/04/2021,13:32:51,Jurien,,Moderate,Top,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,59.0,59.0,Sand,POINT (115.0390583 -30.29496),0.9561480801242367,1
240,C1061,-30.28090667,115.02074,16/04/2021,13:50:24,Jurien,,Moderate,Top,0.0,100.0,0.275,0.452202586776303,0.0,26.0,0.0,0.0,0.0,74.0,12.0,64.0,57.0,Sand,POINT (115.02074 -30.28090667),0.6734357252225178,1
241,C1053,-30.283545,115.0176733,16/04/2021,13:57:22,Jurien,,Moderate,Top,0.0,100.0,0.225,0.42290206176626,0.0,4.0,0.0,0.0,0.0,96.0,0.0,72.0,72.0,Sand,POINT (115.0176733 -30.283545),0.9842261167570554,1
242,C1021,-30.28966667,115.01509,16/04/2021,14:05:05,Jurien,,Moderate,Top,0.0,100.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,82.0,0.0,71.0,71.0,Sand,POINT (115.01509 -30.28966667),0.90458895753519,1
243,C1033,-30.29722333,115.0139867,16/04/2021,14:12:55,Jurien,,Moderate,Top,0.0,100.0,0.208333333333333,0.410414079086058,0.0,3.0,0.0,0.0,0.0,97.0,0.0,72.0,72.0,Sand,POINT (115.0139867 -30.29722333),0.7458440474528901,1
244,C1049,-30.29614167,115.01113,16/04/2021,14:19:37,Jurien,,Moderate,Top,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,77.0,77.0,Sand,POINT (115.01113 -30.29614167),0.992282702335753,1
245,C1006,-30.29445667,115.0038433,16/04/2021,14:27:31,Jurien,,Moderate,Top,0.0,100.0,0.951219512195122,1.11694269128266,0.0,50.0,0.0,0.0,0.0,50.0,0.0,78.0,78.0,Sand,POINT (115.0038433 -30.29445667),0.28058758205234824,1
246,C1014,-30.28052667,115.00956,16/04/2021,14:47:40,Jurien,,Moderate,Top,0.0,100.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,80.0,80.0,SAV,POINT (115.00956 -30.28052667),0.2817445601030595,0
247,C1029,-30.276285,115.0081483,16/04/2021,14:55:56,Jurien,,Moderate,Top,0.0,100.0,3.11764705882353,1.26407788070937,0.0,97.0,3.0,0.0,0.0,0.0,12.0,76.0,68.0,SAV,POINT (115.0081483 -30.276285),0.18042541655354558,0
248,C1115,-29.61921,114.8660983,17/04/2021,07:28:01,Freshwater,,Moderate,Bottom,0.0,100.0,2.74418604651163,0.75885324686454,0.0,90.0,0.0,0.0,0.0,10.0,3.0,65.0,63.0,SAV,POINT (114.8660983 -29.61921),0.23856750772663904,0
249,C1139,-29.61935,114.8818383,17/04/2021,07:38:58,Freshwater,,Moderate,Bottom,0.0,100.0,1.125,0.647975149887552,0.0,17.0,0.0,0.0,0.0,83.0,6.0,68.0,64.0,Sand,POINT (114.8818383 -29.61935),0.2033932649447453,1
250,C1111,-29.61109167,114.884385,17/04/2021,07:48:04,Freshwater,,Moderate,Bottom,0.0,100.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,26.0,49.0,39.0,SAV,POINT (114.884385 -29.61109167),0.17819805938290575,0
251,C1144,-29.63331333,114.8966283,17/04/2021,08:02:20,Freshwater,,Good,Bottom,0.0,100.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,77.0,75.0,SAV,POINT (114.8966283 -29.63331333),0.14830135946065354,0
252,C1152,-29.63782,114.9161467,17/04/2021,08:27:59,Freshwater,,Moderate,Top,0.0,100.0,2.40909090909091,0.583421416887378,3.0,88.0,0.0,0.0,0.0,9.0,6.0,68.0,64.0,SAV,POINT (114.9161467 -29.63782),0.2060934594893402,0
253,C1116,-29.65019,114.9259833,17/04/2021,08:38:37,Freshwater,,Moderate,Top,0.0,100.0,1.47826086956522,0.690865172077981,0.0,36.0,0.0,0.0,0.0,64.0,1.0,75.0,74.0,Sand,POINT (114.9259833 -29.65019),0.5216776885800424,1
254,C1156,-29.64803667,114.9305067,17/04/2021,08:46:26,Freshwater,,Good,Top,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,76.0,76.0,Sand,POINT (114.9305067 -29.64803667),0.5396088839597293,1
255,C1124,-29.640255,114.9316,17/04/2021,08:55:19,Freshwater,,Good,Top,0.0,100.0,0.395348837209302,0.494711791215515,0.0,4.0,0.0,0.0,0.0,96.0,0.0,80.0,80.0,Sand,POINT (114.9316 -29.640255),0.546836471740082,1
256,C1140,-29.63549167,114.932415,17/04/2021,09:02:50,Freshwater,,Good,Top,0.0,100.0,0.111111111111111,0.317820863081864,0.0,1.0,0.0,0.0,0.0,99.0,0.0,79.0,79.0,Sand,POINT (114.932415 -29.63549167),0.7879032146687817,1
257,C1112,-29.633,114.926655,17/04/2021,09:10:23,Freshwater,,Good,Top,0.0,100.0,3.0,0.0,3.0,97.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,SAV,POINT (114.926655 -29.633),0.16569465841722464,0
258,C1123,-29.62003,114.9102583,17/04/2021,09:24:59,Freshwater,,Moderate,Top,0.0,100.0,0.98,0.5886685079439,5.0,32.0,0.0,0.0,0.0,63.0,5.0,79.0,75.0,Sand,POINT (114.9102583 -29.62003),0.29635098665159426,1
259,C1121,-29.61769667,114.921095,17/04/2021,09:34:04,Freshwater,,Moderate,Top,0.0,100.0,0.533333333333333,0.504524979109513,3.0,9.0,0.0,0.0,0.0,89.0,0.0,79.0,79.0,Sand,POINT (114.921095 -29.61769667),0.29246206647670603,1
260,C1137,-29.60843833,114.9161633,17/04/2021,09:45:05,Freshwater,,Moderate,Top,0.0,100.0,2.3265306122449,0.554818104653859,0.0,93.0,0.0,0.0,0.0,7.0,4.0,72.0,69.0,SAV,POINT (114.9161633 -29.60843833),0.2208640474877849,0
261,C1114,-29.60111167,114.91982,17/04/2021,09:53:57,Freshwater,,Moderate,Top,0.0,100.0,1.76595744680851,1.08773330245989,0.0,53.0,0.0,0.0,0.0,47.0,0.0,77.0,77.0,Sand,POINT (114.91982 -29.60111167),0.33776620176984556,1
262,C1109,-29.60660833,114.9296367,17/04/2021,10:02:50,Freshwater,,Good,Top,0.0,100.0,0.214285714285714,0.415299732236633,0.0,0.0,0.0,0.0,0.0,100.0,8.0,79.0,73.0,Sand,POINT (114.9296367 -29.60660833),0.4598024025959573,1
263,C1149,-29.61295167,114.93555,17/04/2021,10:11:40,Freshwater,,Moderate,Top,0.0,100.0,3.0,0.0,3.0,97.0,0.0,0.0,0.0,0.0,5.0,68.0,65.0,SAV,POINT (114.93555 -29.61295167),0.14626224993354817,0
264,C1133,-29.61715333,114.9345633,17/04/2021,10:19:59,Freshwater,,Moderate,Top,0.0,100.0,3.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,37.0,74.0,54.0,SAV,POINT (114.9345633 -29.61715333),0.11005102671041035,0
265,C1130,-29.62281,114.9439067,17/04/2021,10:30:26,Freshwater,,Good,Top,0.0,100.0,0.066666666666667,0.252262489554756,0.0,1.0,0.0,0.0,0.0,99.0,0.0,80.0,80.0,Sand,POINT (114.9439067 -29.62281),0.6008497845365907,1
266,C1134,-29.62563333,114.9469267,17/04/2021,10:39:25,Freshwater,,Good,Top,0.0,100.0,2.92,0.27404751561787,0.0,4.0,96.0,0.0,0.0,0.0,7.0,72.0,67.0,SAV,POINT (114.9469267 -29.62563333),0.34101922150946357,0
267,C1146,-29.62768333,114.9544083,17/04/2021,10:47:48,Freshwater,,Moderate,Top,0.0,100.0,2.78947368421053,0.452644692938195,0.0,0.0,97.0,0.0,0.0,3.0,7.0,77.0,72.0,SAV,POINT (114.9544083 -29.62768333),0.29557180185165177,0
268,C1148,-29.63357167,114.95575,17/04/2021,10:56:06,Freshwater,,Moderate,Top,0.0,100.0,3.0,0.0,10.0,43.0,47.0,0.0,0.0,0.0,22.0,71.0,58.0,SAV,POINT (114.95575 -29.63357167),0.055899718266915845,0
269,C1120,-29.64035167,114.9592067,17/04/2021,11:04:21,Freshwater,,Good,Top,0.0,100.0,2.88333333333333,0.415450201656585,31.0,31.0,39.0,0.0,0.0,0.0,4.0,78.0,75.0,SAV,POINT (114.9592067 -29.64035167),0.05409145028383822,0
270,C1132,-29.64121,114.95114,17/04/2021,11:12:20,Freshwater,,Moderate,Top,0.0,100.0,2.70212765957447,0.507118613044894,0.0,61.0,38.0,0.0,0.0,1.0,13.0,80.0,71.0,SAV,POINT (114.95114 -29.64121),0.1396547304950765,0
271,C1108,-29.63505167,114.9489733,17/04/2021,11:20:09,Freshwater,,Moderate,Top,0.0,100.0,2.04081632653061,0.199914947901746,0.0,31.0,60.0,0.0,0.0,9.0,9.0,74.0,68.0,SAV,POINT (114.9489733 -29.63505167),0.2356978391576504,0
272,C1113,-29.62359167,114.9576317,17/04/2021,11:30:32,Freshwater,,Good,Top,0.0,100.0,0.05,0.220721427863152,0.0,0.0,0.0,0.0,0.0,100.0,0.0,79.0,79.0,Sand,POINT (114.9576317 -29.62359167),0.7599216192874743,1
273,C1118,-29.61921167,114.9570683,17/04/2021,11:38:12,Freshwater,,Good,Top,0.0,100.0,1.72,0.572855361593241,0.0,0.0,73.0,0.0,0.0,27.0,1.0,78.0,77.0,Sand,POINT (114.9570683 -29.61921167),0.6531371877691777,0
274,C1110,-29.61542333,114.9555117,17/04/2021,11:45:20,Freshwater,,Good,Top,0.0,100.0,2.38333333333333,0.613179174927665,0.0,22.0,58.0,0.0,0.0,20.0,5.0,80.0,76.0,SAV,POINT (114.9555117 -29.61542333),0.33533226394759824,0
275,C1153,-29.618425,114.9655733,17/04/2021,11:54:23,Freshwater,,Good,Top,0.0,100.0,3.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,18.0,80.0,68.0,SAV,POINT (114.9655733 -29.618425),0.03327234457953738,0
276,C1157,-29.61612167,114.9679033,17/04/2021,12:02:53,Freshwater,,Good,Top,0.0,100.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,79.0,79.0,SAV,POINT (114.9679033 -29.61612167),0.1060252499146892,0
277,C1150,-29.60561,114.9505817,17/04/2021,12:14:53,Freshwater,,Moderate,Top,0.0,100.0,3.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,15.0,78.0,68.0,SAV,POINT (114.9505817 -29.60561),0.1801086184897532,0
278,C1102,-29.604805,114.960545,17/04/2021,12:24:49,Freshwater,,Moderate,Top,0.0,100.0,3.0,0.0,0.0,15.0,85.0,0.0,0.0,0.0,0.0,71.0,71.0,SAV,POINT (114.960545 -29.604805),0.062267660102971356,0
279,C1107,-29.601305,114.9695233,17/04/2021,12:35:58,Freshwater,,Good,Top,0.0,100.0,2.5,0.677630927178938,36.0,3.0,61.0,0.0,0.0,0.0,5.0,67.0,64.0,Sand,POINT (114.9695233 -29.601305),0.10478199029967973,0
280,C1104,-29.593925,114.9705517,17/04/2021,12:46:19,Freshwater,,Good,Top,0.0,100.0,3.0,0.0,7.0,0.0,93.0,0.0,0.0,0.0,0.0,74.0,74.0,SAV,POINT (114.9705517 -29.593925),0.09485449565831304,0
281,C1147,-29.592925,114.9585817,17/04/2021,12:56:47,Freshwater,,Good,Top,0.0,100.0,3.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,18.0,80.0,68.0,SAV,POINT (114.9585817 -29.592925),0.2575522716860962,0
282,C1131,-29.59055,114.9519283,17/04/2021,13:12:02,Freshwater,,Moderate,Top,0.0,100.0,2.875,0.333711906235957,18.0,69.0,12.0,0.0,0.0,0.0,20.0,78.0,65.0,Sand,POINT (114.9519283 -29.59055),0.2115392106359376,0
283,C1119,-29.582885,114.9615133,17/04/2021,13:21:30,Freshwater,,Moderate,Top,0.0,100.0,3.0,0.0,16.0,69.0,14.0,0.0,0.0,1.0,0.0,77.0,77.0,Sand,POINT (114.9615133 -29.582885),0.11055931055760072,0
284,C1135,-29.57744,114.9685667,17/04/2021,13:29:29,Freshwater,,Moderate,Top,1.25,98.75,3.0,0.0,10.0,28.0,62.0,0.0,0.0,0.0,12.0,67.0,60.0,SAV,POINT (114.9685667 -29.57744),0.1060252499146892,0
285,C1129,-29.56654833,114.965235,17/04/2021,13:38:47,Freshwater,,Moderate,Top,0.0,100.0,1.9,0.303045763365663,0.0,24.0,52.0,0.0,0.0,24.0,10.0,78.0,71.0,SAV,POINT (114.965235 -29.56654833),0.24871958593027294,0
286,C1145,-29.56171167,114.969155,17/04/2021,13:46:10,Freshwater,,Good,Top,0.0,100.0,2.9,0.303045763365663,0.0,1.0,99.0,0.0,0.0,0.0,6.0,75.0,71.0,SAV,POINT (114.969155 -29.56171167),0.17503398523955832,0
287,C1105,-29.56565833,114.960225,17/04/2021,13:54:41,Freshwater,,Moderate,Top,0.0,100.0,1.78181818181818,0.6855900159962,0.0,23.0,47.0,0.0,0.0,31.0,4.0,78.0,75.0,SAV,POINT (114.960225 -29.56565833),0.500659754047113,0
288,C1101,-29.56796333,114.951835,17/04/2021,14:02:48,Freshwater,,Moderate,Top,0.0,100.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,SAV,POINT (114.951835 -29.56796333),0.3516507247974248,0
289,C1103,-29.57497667,114.9550617,17/04/2021,14:11:06,Freshwater,,Moderate,Top,0.0,100.0,0.898305084745763,0.781133465884943,0.0,0.0,24.0,0.0,0.0,76.0,3.0,80.0,78.0,Sand,POINT (114.9550617 -29.57497667),0.9414376559152444,1
290,C1158,-29.57772667,114.9487883,17/04/2021,14:18:41,Freshwater,,Moderate,Top,0.0,100.0,2.09090909090909,0.674199862463242,0.0,77.0,0.0,0.0,0.0,23.0,7.0,79.0,74.0,Sand,POINT (114.9487883 -29.57772667),0.47958707133269535,0
291,C1142,-29.59072,114.9368567,17/04/2021,14:29:18,Freshwater,,Moderate,Top,0.0,100.0,2.96610169491525,0.182520824972938,0.0,1.0,97.0,0.0,0.0,1.0,3.0,79.0,77.0,SAV,POINT (114.9368567 -29.59072),0.28473761463031255,0
292,C1126,-29.59676333,114.930835,17/04/2021,14:37:30,Freshwater,,Good,Top,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,80.0,80.0,Sand,POINT (114.930835 -29.59676333),0.38738919946862815,1
293,C1143,-29.59317667,114.9074783,17/04/2021,14:50:20,Freshwater,,Moderate,Top,0.0,100.0,3.0,0.0,0.0,99.0,0.0,0.0,0.0,1.0,1.0,71.0,70.0,SAV,POINT (114.9074783 -29.59317667),0.18460169308694718,0
294,C1122,-29.58419667,114.9141833,17/04/2021,14:59:54,Freshwater,,Moderate,Top,0.0,100.0,1.07142857142857,0.491122009440984,0.0,26.0,0.0,0.0,0.0,74.0,1.0,79.0,78.0,Sand,POINT (114.9141833 -29.58419667),0.3857097208037473,1
295,C1154,-29.57228,114.93618,17/04/2021,15:19:36,Freshwater,,Moderate,Top,0.0,100.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,14.0,79.0,69.0,SAV,POINT (114.93618 -29.57228),0.21808362665482786,0
296,C1117,-29.56967333,114.9322067,17/04/2021,15:26:56,Freshwater,,Moderate,Top,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,75.0,75.0,Sand,POINT (114.9322067 -29.56967333),0.7193683341973494,1
